day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long,Cluster
Friday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,7
Friday,Night,perintis kemerdekaan,tamalanrea,TK,adult,PR,R2,-5.1257155,119.5040112,7
Friday,Night,sunu,bontoala,TK,adult,LK,R4,-5.1321811,119.4269256,3
Thursday,Afternoon,panampu,tallo,TK,adult,LK,R2,-5.118319,119.4248683,7
Friday,Morning,abu bakar lambogo,makassar,TL,NOV,NOV,R2,-5.1444266,119.4314297,4
Saturday,Night,perintis kemerdekaan,tamalanrea,TK,adolescent,LK,R2,-5.1257155,119.5040112,11
Sunday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,8
Saturday,Night,gunung bawakaraeng,bontoala,TL,NOV,NOV,R2,-5.1354412,119.4177503,10
Monday,Morning,berua raya,biringkanaya,TM,adult,LK,R4,-5.1158621,119.5232925,8
Tuesday,Morning,mappanyukki,mariso,TL,NOV,NOV,R2,-5.156363,119.4149266,4
Wednesday,Morning,tamalanrea raya,tamalanrea,TK,adult,LK,R4,-5.1389844,119.5193272,3
Thursday,Night,perintis kemerdekaan,biringkanaya,TM,adult,LK,R2,-5.0934582,119.5134093,7
Wednesday,Morning,taman sudiang,biringkanaya,TL,NOV,NOV,R2,-5.091304,119.5263867,4
Sunday,Morning,bandang,bontoala,TM,adult,LK,R2,-5.1265716,119.4194415,8
Saturday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,8
Saturday,Morning,perintis kemerdekaan,tamalanrea,TM,child,LK,R2,-5.1257155,119.5040112,1
Sunday,Morning,panampu,tallo,TK,adolescent,LK,R2,-5.118319,119.4248683,5
Friday,Night,metro tanjung bunga,tamalate,TB,adult,PR,R4,-5.1661576,119.3917443,3
Monday,Morning,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R4,-5.1257155,119.5040112,9
Saturday,Morning,keindahan,biringkanaya,TK,adolescent,LK,R2,-5.1358981,119.5186684,5
Tuesday,Night,gunung bawakaraeng,bontoala,TK,adult,LK,R2,-5.1354412,119.4177503,7
Saturday,Night,cendrawasih,mariso,TK,NOV,LK,R2,-5.1552795,119.4122605,11
Wednesday,Night,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R4,-5.0934582,119.5134093,2
Wednesday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R4,-5.0934582,119.5134093,3
Monday,Night,pengayoman,panakukang,TL,NOV,NOV,R4,-5.1581728,119.44619225187714,2
Wednesday,Night,mappaodang,tamalate,TK,adolescent,LK,R4,-5.1732205,119.4158686,7
Thursday,Night,tamangapa raya,manggala,TL,NOV,NOV,R6,-5.1767373,119.4843844,2
Thursday,Night,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R2,-5.0934582,119.5134093,10
Sunday,Morning,gunung bawakaraeng,bontoala,TL,NOV,NOV,R2,-5.1354412,119.4177503,4
Thursday,Night,kumala,tamalate,TL,NOV,NOV,R4,-5.169866,119.4189942,2
Thursday,Night,andi tonro,tamalate,TL,NOV,NOV,R2,-5.1722153,119.4194737,10
Friday,Night,boulevard,panakukang,TK,adult,LK,R2,-5.15694815,119.44655432802904,7
Thursday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R6,-5.0934582,119.5134093,8
Friday,Night,sultan alauddin,rappocini,TK,adolescent,LK,R4,-5.1847014,119.4408542,7
Friday,Morning,gunung latimojong,makassar,TK,adolescent,PR,R4,-5.1405404,119.4208275,7
Sunday,Morning,tupai,mamajang,TK,adult,LK,R2,-5.1604904,119.4202026,8
Sunday,Morning,tol reformasi,tallo,T,child,LK,R4,-5.110691,119.435491,9
Saturday,Night,sultan alauddin,rappocini,TK,adolescent,LK,R4,-5.1847014,119.4408542,7
Sunday,Morning,rappocini raya,rappocini,TL,NOV,NOV,R2,-5.1585335,119.4337899,4
Friday,Night,veteran selatan,mamajang,TK,adolescent,LK,R2,-5.1671547,119.419923,11
Friday,Night,metro tanjung bunga,tamalate,TL,NOV,NOV,R4,-5.1661576,119.3917443,2
Monday,Morning,tamalate 1,rappocini,TK,adult,PR,R2,-5.1675882,119.4479146,8
Sunday,Afternoon,mappaodang,mamajang,TL,NOV,NOV,R4,-5.1732205,119.4158686,2
