NO,HARI,TGL,JAM,JALAN,KECAMATAN,JENIS KECELAKAAN,UMUR,JENIS KELAMIN,KENDARAAN TERSANGKA
2446,Sunday,8/4/2019,8:30,ANDI PANGERANG PETTARANI,Rappocini,TL,NOV,NOV,R2
2447,Tuesday,8/6/2019,12:00, Pelita Raya,Rappocini,TK,adult,NOV,R2
2448,Tuesday,8/6/2019,19:15, Veteran Selatan,Makassar,TM,adolescent,LK,R2
2449,Sunday,8/4/2019,10:00, Sultan Alauddin,Rappocini,TL,NOV,NOV,R6
2450,Monday,8/5/2019,19:00, Aroepala,Rappocini,TL,NOV,NOV,R4
2451,Tuesday,8/6/2019,15:30,ANDI PANGERANG PETTARANI,Rappocini,TK,adolescent,LK,R2
2452,Saturday,8/3/2019,14:00, Perintis Kemerdekaan,Tamalanrea,TK,adolescent,lk,R2
2453,Saturday,8/3/2019,17:00, Perintis Kemerdekaan,Biringkanaya,TK,adult,LK,R2
2454,Wednesday,8/7/2019,16:20, Cendrawasih,Mamajang,TL,NOV,LK,R2
2455,Tuesday,8/6/2019,9:15, Rudal 12,Biringkanaya,TK,adult,LK,R2
2456,Wednesday,8/7/2019,5:00, Perintis Kemerdekaan,Tamalanrea,TL,NOV,NOV,R4
2457,Wednesday,8/7/2019,13:27, Boulevard ,Panakkukang,TK,adult,NOV,R4
2458,Monday,8/5/2019,10:00, Sultan Alauddin,Tamalate,TK,adult,LK,R2
2459,Thursday,8/8/2019,4:15, Baji Gau ,Tamalate,TL,NOV,NOV,R4
2460,Thursday,8/8/2019,6:45, Sunu,Tallo,TK,adult,LK,R2
2461,Friday,8/9/2019,6:10, Yusuf,Rappocini,TL,NOV,LK,R2
2462,Friday,8/9/2019,9:00, Metro Tanjung Bunga ,Mariso,TM,adolescent,NOV,R4
2463,Friday,8/9/2019,10:10, Rappocini Raya,Rappocini,TK,adult,LK,R2
2464,Friday,8/9/2019,1:00, Perintis Kemerdekaan,Biringkanaya,TK,adult,PR,R2
2465,Friday,8/9/2019,14:00, Perintis Kemerdekaan,Tamalanrea,TK,adult,LK,R2
2466,Friday,8/9/2019,15:00, Sunu,Bontoala,TK,adult,NOV,R4
2467,Saturday,8/10/2019,1:30, K.S. Tubun,Mariso,TK,adult,LK,R4
2468,Thursday,8/8/2019,7:59, Pannampu,Tallo,TK,adult,LK,R2
2469,Friday,8/9/2019,11:30, Belibis,Mariso,TL,NOV,LK,R2
2470,Friday,8/9/2019,16:30, Abu Bakar Lambogo,Makassar,TL,NOV,LK,R2
2471,Friday,8/9/2019,7:50, Paccinang Raya,Panakkukang,TL,NOV,NOV,R2
2472,Wednesday,7/24/2019,15:00,ANDI PANGERANG PETTARANI,Panakkukang,TL,NOV,NOV,R4
2473,Saturday,8/10/2019,19:20, Tamangapa Raya,Manggala,TK,adolescent,LK,R2
2474,Saturday,8/10/2019,23:00, Perintis Kemerdekaan,Tamalanrea,TK,adolescent,NOV,R2
2475,Sunday,8/11/2019,12:40, Perintis Kemerdekaan,Biringkanaya,TK,adult,NOV,R2
2476,Sunday,8/11/2019,6:20, Anggrek II,Mariso,TM,adolescent,NOV,R4
2477,Saturday,8/10/2019,23:00, Gunung Bawakaraeng,Bontoala,TL,NOV,LK,R2
2478,Monday,8/12/2019,10:00,Urip Sumuharjo,Panakkukang,TM,adolescent,LK,R2
2479,Monday,8/12/2019,9:00, Cemara,Panakkukang,TL,NOV,LK,R2
