day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long
Saturday,Night,veteran selatan,makassar,TK,adolescent,LK,R2,-5.1673416,119.4198624
Thursday,Morning,perintis kemerdekaan,tamalanrea,TB,adolescent,LK,R6,-5.1257155,119.5040112
Wednesday,Afternoon,mappanyukki,mariso,TL,NOV,NOV,R2,-5.1521162,119.4147322
Monday,Night,tamalanrea raya,tamalanrea,TK,adult,LK,R2,-5.1377395,119.5159278
Sunday,Morning,tamangapa raya,manggala,TL,NOV,NOV,R2,-5.1767373,119.4843844
Tuesday,Morning,perintis kemerdekaan,tamalanrea,TM,adolescent,LK,R2,-5.1257155,119.5040112
Monday,Morning,tamalate 1,rappocini,TK,adult,LK,R2,-5.1675882,119.4479146
Wednesday,Morning,borong raya,manggala,TK,NOV,LK,R4,-5.1646341,119.4717009
Wednesday,Morning,mappainga,tamalate,TK,adult,LK,R4,-5.2147147,119.4000236
Tuesday,Morning,andalas,bontoala,TL,NOV,NOV,R4,-5.1268592,119.4185753
Thursday,Morning,boulevard,panakukang,TK,adolescent,LK,R2,-5.157779400000001,119.44617103479291
Thursday,Night,andi pangerang pettarani,rappocini,TM,adolescent,LK,R2,-5.1565899,119.4369069
Wednesday,Night,gunung latimojong,makassar,TL,NOV,NOV,R2,-5.1405404,119.4208275
Friday,Morning,perintis kemerdekaan,biringkanaya,TK,adolescent,LK,R2,-5.0876472,119.5188217
Thursday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112
Saturday,Morning,perintis kemerdekaan,tamalanrea,TK,adult,LK,R2,-5.1257155,119.5040112
Monday,Night,rappocini raya,rappocini,TK,adult,PR,R4,-5.1525914,119.4258648
Saturday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112
Friday,Morning,sultan hasanuddin,ujung pandang,TK,adolescent,LK,R2,-5.1446687,119.4129742
Sunday,Night,urip sumoharjo,makassar,TM,NOV,LK,R2,-5.1463251,119.470172
Sunday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0876472,119.5188217
Saturday,Night,malengkeri,tamalate,TK,adolescent,LK,R4,-5.1875239,119.4339559
Thursday,Night,gunung agung,tamalate,TL,NOV,NOV,R4,-5.1838049,119.3994507
Friday,Morning,aroepala,rappocini,TK,adult,PR,R2,-5.1748451,119.4557027
Tuesday,Night,perintis kemerdekaan,biringkanaya,TM,adolescent,LK,R2,-5.0876472,119.5188217
Tuesday,Night,kumala,tamalate,TK,adolescent,LK,R2,-5.1751691,119.4167077
Wednesday,Night,metro tanjung bunga,mariso,TK,adult,LK,R2,-5.1544437,119.4041691
Friday,Night,sultan alauddin,rappocini,TL,NOV,NOV,R2,-5.1847014,119.4408542
Wednesday,Night,borong raya,manggala,TL,NOV,NOV,R4,-5.1646341,119.4717009
Friday,Morning,kapasa raya,biringkanaya,TK,adult,LK,R2,-5.109131,119.5009769
Saturday,Night,bandang,bontoala,TK,adolescent,LK,R2,-5.1329092,119.4213666
Friday,Morning,btn minasa upa,rappocini,TK,adult,LK,R4,-5.1872008,119.4575791
Sunday,Night,singa,mamajang,TK,adult,LK,R2,-5.1582823,119.4168762
